tp_record_share,id_titolo_invio,id_titolo_exp,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,ramo,effetto_titolo,stato_share,id_incasso_exp,cod_garanzia_cmp,descrizione_garanzia_cmp,ramo_bil,codice_provv,aliquota,tipo_premi_delega,netto,diritti,accessori,imponibile,antiracket,tasse,lordo,ssn,provvigioni_totali,provvigioni_acquisto,provvigioni_incasso,collaboratore_1,collaboratore_2,collaboratore_3,provv_tot_c2,provv_tot_c3,provv_acq_c2,provv_acq_c3,filename,data_elaborazione_file,mandato
42,000000001232618,000000001232618,035,4,143,2013102622850,0,Incendio,2014-02-10,P,,8,RISCHI TECNOLOGICI,8,Provv. Ricorrente,0.0,Q,5.13,0.14,0.51,5.78,0.0,1.29,7.07,0.0,1.43,0.67,0.76,143,015,000,0.0,0.0,0.0,0.0,42_C_4_143_20240301113717_0_P.csv,2024-02-01,1
42,026600000397859,026600000397859,035,4,253,2020010154010,0,Responsabilità civile autoveicoli terrestri,2021-04-04,P,,4V,"GARANZIE ACCESSORIE - FORMULA ""DUE""",1,,14.0,Q,6.0,0.0,0.0,6.0,0.06,0.81,6.81,0.0,0.84,0.84,0.0,253,000,000,0.0,0.0,0.0,0.0,42_C_4_253_20240301150036_0_P.csv,2024-02-02,1
42,034300000528716,034300000528716,035,4,180,2020010102816,0,Responsabilità civile autoveicoli terrestri,2022-02-20,A,,1B,PERSONA 360,1,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,000,000,0.0,0.0,0.0,0.0,42_C_4_180_20240301115032_0_P.csv,2024-02-01,1
42,000000008524119,000000008524119,035,4,266,2015102854657,0,Incendio,2022-11-02,P,,10,INCENDIO,10,Provv. Ricorrente,0.0,Q,32.97,0.0,3.29,36.26,0.0,8.07,44.33,0.0,9.43,5.08,4.35,266,000,000,0.0,0.0,0.0,0.0,42_C_4_266_20240301152159_0_P.csv,2024-02-02,1
42,000000003578515,000000003578515,035,4,330,2016052624846,0,Infortuni,2018-08-19,P,,5,INFORTUNI,5,Provv. Ricorrente,0.0,Q,438.95,4.95,43.89,487.79,0.0,12.21,500.0,0.0,114.02,53.11,60.91,330,082,000,0.0,0.0,0.0,0.0,42_C_4_330_20240306132831_0_P.csv,2024-02-02,1
42,014600000324092,014600000324092,035,4,822,2018010469532,0,Responsabilità civile autoveicoli terrestri,2018-07-31,P,,19,ASSISTENZA IN VIAGGIO,1,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822,000,000,0.0,0.0,0.0,0.0,42_C_4_822_20240314160150_0_P.csv,2024-02-06,1
42,028600000220799,028600000220799,035,4,243,2015010026014,0,Responsabilità civile autoveicoli terrestri,2019-01-07,P,,01,RCA,1,,10.5,Q,-8.1,0.0,0.0,-8.1,0.0,0.0,-8.1,0.0,-0.42,-0.42,0.0,243,000,000,0.0,0.0,0.0,0.0,42_C_4_243_20240301150311_0_P.csv,2024-02-02,1
42,029100000152180,029100000152180,035,4,271,2018010338055,0,Responsabilità civile autoveicoli terrestri,2018-12-23,P,,01,RCA,1,,12.0,Q,335.49,0.0,0.0,335.49,0.0,88.91,424.4,35.23,39.26,39.26,0.0,271,000,000,0.0,0.0,0.0,0.0,42_C_4_271_20240301152101_0_P.csv,2024-02-02,1
42,005573685894300,005573685894300,035,4,742,20005573685,0,Vita,2022-05-23,P,,20,Vita,20,,0.0,Q,97.5,0.0,2.5,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,742,023,000,0.0,0.0,0.0,0.0,42_C_4_742_20240314151458_0_P.csv,2024-02-06,1
42,032200000460828,032200000460828,035,4,168,2017010205948,0,Responsabilità civile autoveicoli terrestri,2024-04-09,I,,ZZ,TIPO GARANZIA AUTO E D-RAMO TRANSITORIA,1,,0.0,Q,4.95,0.0,0.0,4.95,0.05,0.67,5.62,0.0,2.97,0.0,2.97,168,000,000,0.0,0.0,0.0,0.0,42_C_4_168_20240301112638_0_P.csv,2024-02-01,1
42,030600000460482,030600000460482,035,4,165,2021010448501,0,Responsabilità civile autoveicoli terrestri,2021-10-24,P,,01,RCA,1,,12.5,Q,123.06,0.0,0.0,123.06,0.0,32.61,155.67,12.92,15.02,15.02,0.0,165,000,000,0.0,0.0,0.0,0.0,42_C_4_165_20240301112354_0_P.csv,2024-02-01,1
42,016200000171689,016200000171689,035,4,894,2012010432154,0,Responsabilità civile autoveicoli terrestri,2012-05-31,P,,41,FURTO VEICOLI,1,,0.0,Q,773.64,0.0,0.0,773.64,7.74,104.42,878.06,0.0,69.67,0.0,69.67,894,000,000,0.0,0.0,0.0,0.0,42_C_4_894_20240314154827_0_P.csv,2024-02-06,1
42,002900000327994,002900000327994,035,4,470,2020010206611,0,Responsabilità civile autoveicoli terrestri,2020-07-30,P,,01,RCA,1,,10.0,Q,140.72,0.0,0.0,140.72,0.0,37.28,178.0,14.77,13.76,13.76,0.0,470,000,000,0.0,0.0,0.0,0.0,42_C_4_470_20240306133139_0_P.csv,2024-02-04,1
42,018700000121064,018700000121064,035,4,705,2015010499523,0,Responsabilità civile autoveicoli terrestri,2016-12-31,P,,4B,EVENTI SOCIOPOLITICI,1,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705,000,000,0.0,0.0,0.0,0.0,42_C_4_705_20240314143243_0_P.csv,2024-02-05,1
42,0000230.514.007,0000230.514.007,035,4,714,20050062851,0,Vita,2023-12-20,P,,19,,19,,0.0,Q,362.56,2.0,5.44,370.0,0.0,0.0,370.0,0.0,61.49,46.99,14.5,714,000,000,0.0,0.0,0.0,0.0,42_C_4_714_20240314145009_0_P.csv,2024-02-05,1
42,028000000292945,028000000292945,035,4,275,2019010561251,0,Responsabilità civile autoveicoli terrestri,2022-10-09,A,,X4,TUTELA LEGALE - GARANZIA BASE,1,,22.0,Q,18.0,0.0,0.0,18.0,0.0,2.25,20.25,0.0,3.96,3.96,0.0,275,000,000,0.0,0.0,0.0,0.0,42_C_4_275_20240306124948_0_P.csv,2024-02-02,1
42,018500000207061,018500000207061,035,4,689,2017010354565,0,Responsabilità civile autoveicoli terrestri,2017-12-07,P,,19,ASSISTENZA IN VIAGGIO,1,,20.0,Q,12.88,0.0,0.0,12.88,0.0,1.29,14.17,0.0,2.58,2.58,0.0,689,000,000,0.0,0.0,0.0,0.0,42_C_4_689_20240314141433_0_P.csv,2024-02-05,1
42,007300000260003,007300000260003,035,4,350,2023010162250,0,Responsabilità civile autoveicoli terrestri,2023-10-21,P,,01,RCA,1,,11.5,Q,212.66,0.0,0.0,212.66,0.0,56.35,269.01,22.33,23.9,23.9,0.0,350,000,000,0.0,0.0,0.0,0.0,42_C_4_350_20240306134732_0_P.csv,2024-02-03,1
42,027700000440970,027700000440970,035,4,241,2023010545124,0,Responsabilità civile autoveicoli terrestri,2023-11-10,P,,RE,INFORTUNI,1,,23.0,Q,7.2,0.0,0.0,7.2,0.0,0.18,7.38,0.0,1.66,1.66,0.0,241,000,000,0.0,0.0,0.0,0.0,42_C_4_241_20240301145910_0_P.csv,2024-02-02,1
42,005628999943400,005628999943400,035,4,894,20005628999,0,Vita,2023-08-22,P,,20,Vita,20,,0.0,Q,250.0,0.0,0.0,250.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,894,000,000,0.0,0.0,0.0,0.0,42_C_4_894_20240314154827_0_P.csv,2024-02-06,1
42,004158408910000,004158408910000,035,4,123,20004158408,0,Vita,2022-10-27,P,,20,Vita,20,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,0.0,29.75,123,000,000,0.0,0.0,0.0,0.0,42_C_4_123_20240301113028_0_P.csv,2024-02-01,1
42,000000009248629,000000009248629,035,4,744,2019103189427,0,Incendio,2024-01-27,P,,3,R.C.G.,3,Provv. Ricorrente,0.0,Q,14.49,0.63,1.45,16.57,0.0,3.69,20.26,0.0,4.04,1.75,2.29,744,000,000,0.0,0.0,0.0,0.0,42_C_4_744_20240314152042_0_P.csv,2024-02-06,1
42,002500000147195,002500000147195,035,4,274,2017010649134,0,Responsabilità civile autoveicoli terrestri,2024-02-18,P,,4V,"GARANZIE ACCESSORIE - FORMULA ""DUE""",1,,14.0,Q,7.2,0.0,0.0,7.2,0.07,0.97,8.17,0.0,1.01,1.01,0.0,274,000,000,0.0,0.0,0.0,0.0,42_C_4_274_20240306124828_0_P.csv,2024-02-02,1
42,001900000215895,001900000215895,035,4,244,2016010302906,0,Responsabilità civile autoveicoli terrestri,2017-05-10,P,,IR,INFORTUNI,1,,23.0,Q,7.0,0.0,0.0,7.0,0.0,0.18,7.18,0.0,1.61,1.61,0.0,244,000,000,0.0,0.0,0.0,0.0,42_C_4_244_20240301150451_0_P.csv,2024-02-02,1
42,008400000204758,008400000204758,035,4,403,2016010692927,0,Responsabilità civile autoveicoli terrestri,2017-12-15,A,,4A,EVENTI NATURALI,1,,14.0,Q,30.31,0.0,0.0,30.31,0.3,4.09,34.4,0.0,4.24,4.24,0.0,403,000,000,0.0,0.0,0.0,0.0,42_C_4_403_20240306131251_0_P.csv,2024-02-03,1
42,025100000360039,025100000360039,035,4,219,2022010465192,0,Responsabilità civile autoveicoli terrestri,2022-11-04,P,,01,RCA,1,,11.5,Q,21.97,0.0,0.0,21.97,0.0,5.82,27.79,2.31,2.48,2.48,0.0,219,000,000,0.0,0.0,0.0,0.0,42_C_4_219_20240301120717_0_P.csv,2024-02-01,1
42,000000004854044,000000004854044,035,4,654,2016052657747,0,Infortuni,2019-01-29,P,,0,,0,Provv. Ricorrente,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654,000,000,0.0,0.0,0.0,0.0,42_C_4_654_20240314135712_0_P.csv,2024-02-05,1
42,032200000305171,032200000305171,035,4,168,2016010396004,0,Responsabilità civile autoveicoli terrestri,2016-07-09,P,,4A,EVENTI NATURALI,1,,14.0,Q,98.28,0.0,0.0,98.28,0.98,13.27,111.55,0.0,13.76,13.76,0.0,168,000,000,0.0,0.0,0.0,0.0,42_C_4_168_20240301112638_0_P.csv,2024-02-01,1
42,000000002242361,000000002242361,035,4,252,2011102396077,0,Incendio,2023-06-30,P,,10,INCENDIO,10,Provv. Ricorrente,0.0,Q,48.55,0.0,4.87,53.42,0.0,11.89,65.31,0.0,13.89,7.48,6.41,252,000,000,0.0,0.0,0.0,0.0,42_C_4_252_20240301145849_0_P.csv,2024-02-02,1
42,008200000236685,008200000236685,035,4,401,2019010091974,0,Responsabilità civile autoveicoli terrestri,2020-05-05,P,,ID,INFORTUNI,1,,23.0,Q,0.77,0.0,0.0,0.77,0.0,0.02,0.79,0.0,0.18,0.18,0.0,401,000,000,0.0,0.0,0.0,0.0,42_C_4_401_20240306130805_0_P.csv,2024-02-03,1
42,024900000501920,024900000501920,035,4,208,2019010508688,0,Responsabilità civile autoveicoli terrestri,2020-09-12,P,,1B,PERSONA 360,1,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,000,000,0.0,0.0,0.0,0.0,42_C_4_208_20240301121646_0_P.csv,2024-02-01,1
42,031600000841285,031600000841285,035,4,122,2020010467557,0,Responsabilità civile autoveicoli terrestri,2020-09-16,P,,01,RCA,1,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,000,000,0.0,0.0,0.0,0.0,42_C_4_122_20240301112716_0_P.csv,2024-02-01,1
42,019600000286966,019600000286966,035,4,618,2018010300742,0,Responsabilità civile autoveicoli terrestri,2018-05-16,P,,19,ASSISTENZA IN VIAGGIO,1,,20.0,Q,0.07,0.0,0.0,0.07,0.0,0.01,0.08,0.0,0.01,0.01,0.0,618,000,000,0.0,0.0,0.0,0.0,42_C_4_618_20240314143332_0_P.csv,2024-02-04,1
42,031900000091475,031900000091475,035,4,157,2021010552618,0,Responsabilità civile autoveicoli terrestri,2021-12-02,P,,5E,NUOVA CRISTALLI,1,,14.0,Q,54.78,0.0,0.0,54.78,0.55,7.4,62.18,0.0,7.67,7.67,0.0,157,000,000,0.0,0.0,0.0,0.0,42_C_4_157_20240301112221_0_P.csv,2024-02-01,1
42,016200000286756,016200000286756,035,4,894,2016010388748,0,Responsabilità civile autoveicoli terrestri,2017-12-29,A,,01,RCA,1,,9.0,Q,369.96,0.0,0.0,369.96,0.0,98.04,468.0,38.85,32.49,32.49,0.0,894,000,000,0.0,0.0,0.0,0.0,42_C_4_894_20240314154827_0_P.csv,2024-02-06,1
42,019200000371622,019200000371622,035,4,603,2014010629299,0,Responsabilità civile autoveicoli terrestri,2017-09-07,P,,01,RCA,1,,12.0,Q,254.54,0.0,0.0,254.54,0.0,67.46,322.0,26.73,29.78,29.78,0.0,603,000,000,0.0,0.0,0.0,0.0,42_C_4_603_20240314142050_0_P.csv,2024-02-04,1
42,034300000386670,034300000386670,035,4,180,2017010124765,0,Responsabilità civile autoveicoli terrestri,2018-03-06,A,,ID,INFORTUNI,1,,23.0,Q,2.7,0.0,0.0,2.7,0.0,0.07,2.77,0.0,0.62,0.62,0.0,180,000,000,0.0,0.0,0.0,0.0,42_C_4_180_20240301115032_0_P.csv,2024-02-01,1
42,004800000311172,004800000311172,035,4,316,2023010037612,0,Responsabilità civile autoveicoli terrestri,2023-01-27,P,,8C,TUTELA LEGALE - GARANZIA ESTESA,1,,22.0,Q,28.0,0.0,0.0,28.0,0.0,3.5,31.5,0.0,6.16,6.16,0.0,316,000,000,0.0,0.0,0.0,0.0,42_C_4_316_20240306132003_0_P.csv,2024-02-02,1
42,011500000219226,011500000219226,035,4,656,2016010230583,0,Responsabilità civile autoveicoli terrestri,2020-04-24,P,,01,RCA,1,,9.0,Q,337.27,0.0,0.0,337.27,0.0,89.37,426.64,35.41,29.62,29.62,0.0,656,000,000,0.0,0.0,0.0,0.0,42_C_4_656_20240314135932_0_P.csv,2024-02-05,1
42,020200000168488,020200000168488,035,4,501,2018010013265,0,Responsabilità civile autoveicoli terrestri,2019-09-26,A,,6O,SPECIALE DIFESA,1,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501,000,000,0.0,0.0,0.0,0.0,42_C_4_501_20240306134043_0_P.csv,2024-02-04,1
42,000000000021948,000000000021948,035,4,301,2010052135677,0,Infortuni,2018-12-03,P,,15,MALATTIE,15,Provv. Ricorrente,0.0,Q,785.46,22.09,78.54,886.09,0.0,22.15,908.24,0.0,211.97,95.04,116.93,301,006,020,0.0,0.0,0.0,0.0,42_C_4_301_20240306130241_0_P.csv,2024-02-02,1
42,030600000496995,030600000496995,035,4,165,2023010067408,0,Responsabilità civile autoveicoli terrestri,2023-02-01,P,,01,RCA,1,,8.0,Q,814.01,0.0,0.0,814.01,0.0,215.71,1029.72,85.47,63.58,63.58,0.0,165,000,000,0.0,0.0,0.0,0.0,42_C_4_165_20240301112354_0_P.csv,2024-02-01,1
42,031400005197913,031400005197913,035,4,100,2011032124338,0,Responsabilità civile generale,2016-12-31,P,,3,R.C.G.,3,Provv. Ricorrente,0.0,Q,1561.63,0.0,156.16,1717.79,0.0,382.21,2100.0,0.0,326.38,0.0,326.38,100,314,000,0.0,0.0,0.0,0.0,42_C_4_100_20240301111136_0_P.csv,2024-02-01,1
42,002000000112375,002000000112375,035,4,245,2014010457757,0,Responsabilità civile autoveicoli terrestri,2020-08-16,P,,42,INCENDIO VEICOLI,1,,18.0,Q,5.4,0.0,0.0,5.4,0.05,0.73,6.13,0.0,0.97,0.97,0.0,245,000,000,0.0,0.0,0.0,0.0,42_C_4_245_20240301150729_0_P.csv,2024-02-02,1
42,004151286772300,004151286772300,035,4,242,20004151286,0,Vita,2019-05-03,P,,20,Vita,20,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63,0.0,7.63,242,012,000,0.0,0.0,0.0,0.0,42_C_4_242_20240301150119_0_P.csv,2024-02-02,1
42,000000016483191,000000016483191,035,4,401,2020802353492,0,Responsabilità civile generale,2024-02-08,P,,9,CRISTALLI,9,Provv. Ricorrente,0.0,Q,21.21,0.2,2.12,23.53,0.0,5.0,28.53,0.0,6.19,3.27,2.92,401,006,000,0.0,0.0,0.0,0.0,42_C_4_401_20240306130805_0_P.csv,2024-02-03,1
42,013700000535468,013700000535468,035,4,817,2021010139095,0,Responsabilità civile autoveicoli terrestri,2023-03-26,P,,01,RCA,1,,11.5,Q,258.98,0.0,0.0,258.98,0.0,68.63,327.61,27.19,29.11,29.11,0.0,817,000,000,0.0,0.0,0.0,0.0,42_C_4_817_20240314155811_0_P.csv,2024-02-06,1
